accenumb,campaign,days_to_heading
TS0081,1937-1938,171
TS0088,1937-1938,172
TS0091,1937-1938,170
TS0092,1937-1938,171
TS0094,1937-1938,174
TS0094,1937-1938,172
TS0094,1937-1938,170
TS0095,1937-1938,175
TS0095,1937-1938,174
TS0095,1937-1938,170
TS0098,1937-1938,175
TS0098,1937-1938,174
TS0098,1937-1938,171
TS0098,1937-1938,170
TS0099,1937-1938,174
TS0099,1937-1938,172
TS0099,1937-1938,171
TS0099,1937-1938,170
TS0100,1937-1938,177
TS0100,1937-1938,174
TS0100,1937-1938,170
TS0102,1937-1938,175
TS0102,1937-1938,174
TS0102,1937-1938,172
TS0102,1937-1938,170
TS0111,1937-1938,172
TS0111,1937-1938,170
TS0112,1937-1938,175
TS0112,1937-1938,174
TS0112,1937-1938,170
TS0113,1937-1938,174
TS0113,1937-1938,172
TS0113,1937-1938,171
TS0116,1937-1938,175
TS0116,1937-1938,174
TS0116,1937-1938,170
TS0117,1937-1938,172
TS0117,1937-1938,170
TS0123,1937-1938,175
TS0123,1937-1938,174
TS0123,1937-1938,170
TS0125,1937-1938,168
TS0131,1937-1938,175
TS0131,1937-1938,174
TS0131,1937-1938,172
TS0131,1937-1938,171
TS0131,1937-1938,170
TS0131,1937-1938,168
TS0136,1937-1938,177
TS0136,1937-1938,174
TS0136,1937-1938,172
TS0136,1937-1938,171
TS0136,1937-1938,170
TS0137,1937-1938,177
TS0137,1937-1938,174
TS0137,1937-1938,171
TS0137,1937-1938,170
TS0140,1937-1938,174
TS0140,1937-1938,171
TS0141,1937-1938,177
TS0141,1937-1938,174
TS0141,1937-1938,172
TS0141,1937-1938,171
TS0141,1937-1938,170
TS0142,1937-1938,177
TS0142,1937-1938,174
TS0142,1937-1938,172
TS0142,1937-1938,171
TS0142,1937-1938,170
TS0144,1937-1938,177
TS0144,1937-1938,174
TS0144,1937-1938,172
TS0144,1937-1938,171
TS0144,1937-1938,170
TS0146,1937-1938,177
TS0146,1937-1938,174
TS0146,1937-1938,172
TS0146,1937-1938,171
TS0146,1937-1938,170
TS0148,1937-1938,177
TS0148,1937-1938,174
TS0148,1937-1938,172
TS0148,1937-1938,171
TS0148,1937-1938,170
TS0149,1937-1938,174
TS0149,1937-1938,172
TS0149,1937-1938,171
TS0149,1937-1938,170
TS0152,1937-1938,174
TS0152,1937-1938,172
TS0152,1937-1938,171
TS0152,1937-1938,170
TS0001,1946-1947,176
TS0002,1946-1947,176
TS0004,1946-1947,174
TS0006,1946-1947,173
TS0007,1946-1947,173
TS0013,1946-1947,171
TS0014,1946-1947,175
TS0016,1946-1947,174
TS0019,1946-1947,177
TS0020,1946-1947,174
TS0025,1946-1947,176
TS0026,1946-1947,174
TS0028,1946-1947,169
TS0030,1946-1947,179
