accenumb,campaign,plant_height
TS0079,1940-1941,122.4
TS0081,1940-1941,129.2
TS0085,1940-1941,133.2
TS0086,1940-1941,132.9
TS0087,1940-1941,132.75
TS0089,1940-1941,111.2
TS0092,1940-1941,122
TS0096,1940-1941,139.3
TS0098,1940-1941,133
TS0107,1940-1941,128
TS0110,1940-1941,136.9
TS0111,1940-1941,143.4
TS0119,1940-1941,127.8
TS0125,1940-1941,121.8
TS0134,1940-1941,132.3
TS0139,1940-1941,117.3
TS0150,1940-1941,122.8
TS0535,1940-1941,148.9
TS0536,1940-1941,137.3
TS0553,1940-1941,148.8
TS0554,1940-1941,132.3
TS0555,1940-1941,133.1
TS0560,1940-1941,129.6
TS0561,1940-1941,133.7
TS0566,1940-1941,118.2
TS0572,1940-1941,123.6
TS0573,1940-1941,122.4
TS0574,1940-1941,133.5
TS0577,1940-1941,131.1
TS0578,1940-1941,123.6
TS0579,1940-1941,118.2
TS0580,1940-1941,118.7
TS0587,1940-1941,137.9
TS0588,1940-1941,138.8
TS0589,1940-1941,133.8
TS0607,1940-1941,133.7
TS0608,1940-1941,132.1
TS0622,1940-1941,143
TS0623,1940-1941,153.6
TS0634,1940-1941,137.9
TS0635,1940-1941,133.3
TS0645,1940-1941,112.2
TS0646,1940-1941,106.6
TS0655,1940-1941,112.3
TS0656,1940-1941,107.4
TS0657,1940-1941,128.8
TS0664,1940-1941,118.4
TS0673,1940-1941,117.8
TS0691,1940-1941,132.5
TS0706,1940-1941,122.8
TS0728,1940-1941,138
TS0741,1940-1941,126.6
TS0753,1940-1941,117.5
TS0760,1940-1941,117.2
TS0762,1940-1941,128
TS0769,1940-1941,117.7
TS0772,1940-1941,138.5
TS0785,1940-1941,132.9
TS0792,1940-1941,117.1
TS0837,1940-1941,126.8
TS0838,1940-1941,142.7
TS0854,1940-1941,108.1
TS0888,1940-1941,111.2
TS0891,1940-1941,123
TS0909,1940-1941,137.9
TS0915,1940-1941,122.7
TS0928,1940-1941,132.8
TS0935,1940-1941,126.9
TS0942,1940-1941,106.1
TS0944,1940-1941,117.9
TS0001,1951-1952,110
TS0002,1951-1952,120
TS0004,1951-1952,110
TS0006,1951-1952,110
TS0007,1951-1952,110
TS0013,1951-1952,110
TS0014,1951-1952,110
TS0016,1951-1952,110
TS0019,1951-1952,105
TS0020,1951-1952,105
TS0025,1951-1952,105
TS0026,1951-1952,105
TS0028,1951-1952,110
TS0030,1951-1952,110
TS0032,1951-1952,110
TS0034,1951-1952,105
TS0035,1951-1952,100
TS0036,1951-1952,105
TS0001,1952-1953,80
TS0002,1952-1953,90
TS0004,1952-1953,90
TS0006,1952-1953,90
TS0007,1952-1953,90
TS0013,1952-1953,85
TS0014,1952-1953,85
TS0016,1952-1953,80
TS0019,1952-1953,85
TS0020,1952-1953,90
TS0025,1952-1953,90
TS0026,1952-1953,80
TS0028,1952-1953,80
TS0030,1952-1953,75
TS0032,1952-1953,80
TS0034,1952-1953,80
TS0035,1952-1953,80
TS0036,1952-1953,85
TS0001,1959-1960,130
TS0002,1959-1960,100
TS0004,1959-1960,120
TS0006,1959-1960,105
TS0013,1959-1960,120
TS0014,1959-1960,120
TS0016,1959-1960,120
TS0019,1959-1960,125
TS0020,1959-1960,115
TS0025,1959-1960,120
TS0026,1959-1960,115
TS0028,1959-1960,120
TS0030,1959-1960,120
TS0032,1959-1960,125
TS0034,1959-1960,130
TS0035,1959-1960,125
TS0036,1959-1960,140
TS0001,1960-1961,115
TS0002,1960-1961,140
TS0004,1960-1961,140
TS0006,1960-1961,125
TS0007,1960-1961,130
TS0013,1960-1961,140
TS0014,1960-1961,130
TS0016,1960-1961,130
TS0019,1960-1961,130
TS0020,1960-1961,130
TS0025,1960-1961,135
TS0026,1960-1961,135
TS0028,1960-1961,125
TS0030,1960-1961,130
TS0032,1960-1961,130
TS0034,1960-1961,130
TS0036,1960-1961,120
TS0001,1961-1962,135
TS0001,1961-1962,115
TS0002,1961-1962,140
TS0004,1961-1962,145
TS0004,1961-1962,140
TS0006,1961-1962,125
TS0007,1961-1962,130
TS0013,1961-1962,140
TS0014,1961-1962,130
TS0016,1961-1962,130
TS0019,1961-1962,130
TS0020,1961-1962,130
TS0025,1961-1962,135
TS0026,1961-1962,135
TS0028,1961-1962,125
TS0030,1961-1962,130
TS0032,1961-1962,130
TS0034,1961-1962,130
TS0036,1961-1962,120
TS0001,1962-1963,130
TS0002,1962-1963,140
TS0004,1962-1963,140
TS0006,1962-1963,125
TS0007,1962-1963,135
TS0013,1962-1963,140
TS0014,1962-1963,140
TS0016,1962-1963,125
TS0019,1962-1963,140
TS0020,1962-1963,125
TS0025,1962-1963,135
TS0026,1962-1963,125
TS0028,1962-1963,140
TS0030,1962-1963,125
TS0032,1962-1963,140
TS0034,1962-1963,140
TS0035,1962-1963,130
TS0036,1962-1963,140
TS0001,1964-1965,110
TS0002,1964-1965,120
TS0004,1964-1965,130
TS0006,1964-1965,100
TS0007,1964-1965,125
TS0013,1964-1965,130
TS0014,1964-1965,120
TS0016,1964-1965,115
TS0019,1964-1965,130
TS0020,1964-1965,120
TS0025,1964-1965,125
TS0026,1964-1965,120
TS0028,1964-1965,120
TS0030,1964-1965,120
TS0032,1964-1965,120
TS0034,1964-1965,125
TS0035,1964-1965,120
TS0036,1964-1965,130
TS0098,1980-1981,150
TS0110,1980-1981,150
TS0111,1980-1981,165
TS0119,1980-1981,165
TS0125,1980-1981,165
TS0174,1980-1981,165
TS0174,1980-1981,160
TS0174,1980-1981,150
TS0174,1980-1981,170
TS0174,1980-1981,140
TS0174,1980-1981,155
TS0183,1980-1981,150
TS0183,1980-1981,145
TS0183,1980-1981,155
TS0183,1980-1981,165
TS0183,1980-1981,160
TS0191,1980-1981,160
TS0191,1980-1981,165
TS0191,1980-1981,155
TS0191,1980-1981,150
TS0192,1980-1981,150
TS0192,1980-1981,165
TS0192,1980-1981,155
TS0192,1980-1981,160
TS0208,1980-1981,150
TS0208,1980-1981,120
TS0208,1980-1981,155
TS0208,1980-1981,140
TS0218,1980-1981,160
TS0218,1980-1981,165
TS0218,1980-1981,170
TS0218,1980-1981,150
TS0218,1980-1981,155
TS0218,1980-1981,145
TS0218,1980-1981,135
TS0225,1980-1981,160
TS0225,1980-1981,165
TS0225,1980-1981,140
TS0225,1980-1981,150
TS0225,1980-1981,155
TS0225,1980-1981,170
TS0225,1980-1981,135
TS0232,1980-1981,155
TS0232,1980-1981,165
TS0232,1980-1981,140
TS0232,1980-1981,160
TS0232,1980-1981,150
TS0232,1980-1981,145
TS0241,1980-1981,145
TS0241,1980-1981,160
TS0241,1980-1981,150
TS0241,1980-1981,165
TS0241,1980-1981,155
TS0241,1980-1981,135
TS0242,1980-1981,160
TS0242,1980-1981,150
TS0242,1980-1981,165
TS0242,1980-1981,155
TS0242,1980-1981,170
TS0247,1980-1981,155
TS0247,1980-1981,165
TS0247,1980-1981,145
TS0247,1980-1981,140
TS0247,1980-1981,150
TS0247,1980-1981,160
TS0247,1980-1981,170
TS0258,1980-1981,145
TS0258,1980-1981,160
TS0258,1980-1981,165
TS0258,1980-1981,150
TS0265,1980-1981,160
TS0265,1980-1981,155
TS0265,1980-1981,165
TS0265,1980-1981,150
TS0265,1980-1981,135
TS0265,1980-1981,140
TS0280,1980-1981,120
TS0280,1980-1981,150
TS0280,1980-1981,165
TS0280,1980-1981,140
TS0280,1980-1981,155
TS0280,1980-1981,160
TS0281,1980-1981,160
TS0281,1980-1981,140
TS0281,1980-1981,170
TS0281,1980-1981,155
TS0281,1980-1981,165
TS0281,1980-1981,145
TS0281,1980-1981,150
