accenumb,campaign,thousand_kernel_weight
TS0001,1951-1952,53.2
TS0002,1951-1952,71.2
TS0004,1951-1952,67
TS0006,1951-1952,70
TS0007,1951-1952,58.4
TS0013,1951-1952,81.2
TS0014,1951-1952,68.8
TS0016,1951-1952,72.6
TS0019,1951-1952,70.2
TS0020,1951-1952,70.6
TS0025,1951-1952,65
TS0026,1951-1952,81.2
TS0030,1951-1952,80.2
TS0032,1951-1952,74.2
TS0034,1951-1952,81.2
TS0035,1951-1952,70.6
TS0036,1951-1952,72.6
TS0001,1952-1953,56.8
TS0002,1952-1953,73.4
TS0004,1952-1953,80
TS0006,1952-1953,78
TS0007,1952-1953,83.6
TS0013,1952-1953,98.4
TS0014,1952-1953,81.6
TS0016,1952-1953,79.2
TS0019,1952-1953,84.8
TS0020,1952-1953,84.4
TS0025,1952-1953,78.4
TS0026,1952-1953,99.2
TS0030,1952-1953,92.8
TS0032,1952-1953,91.2
TS0034,1952-1953,81.6
TS0035,1952-1953,87.2
TS0036,1952-1953,95.6
TS0001,1954-1955,74
TS0002,1954-1955,86
TS0079,1963-1964,43
TS0081,1963-1964,32.5
TS0081,1963-1964,51
TS0081,1963-1964,49.5
TS0081,1963-1964,48.5
TS0081,1963-1964,45
TS0081,1963-1964,37.5
TS0081,1963-1964,51.5
TS0084,1963-1964,40.5
TS0084,1963-1964,51
TS0084,1963-1964,39
TS0084,1963-1964,47
TS0084,1963-1964,43.5
TS0084,1963-1964,37.5
TS0084,1963-1964,31.5
TS0084,1963-1964,52.5
TS0084,1963-1964,46
TS0088,1963-1964,40.5
TS0088,1963-1964,46
TS0088,1963-1964,31
TS0088,1963-1964,47
TS0088,1963-1964,42.5
TS0088,1963-1964,54
TS0088,1963-1964,43.5
TS0091,1963-1964,43.5
TS0091,1963-1964,39
TS0091,1963-1964,51
TS0091,1963-1964,48.5
TS0091,1963-1964,50
TS0091,1963-1964,37.5
TS0091,1963-1964,46
TS0092,1963-1964,40.5
TS0092,1963-1964,31
TS0092,1963-1964,47
TS0092,1963-1964,46
TS0092,1963-1964,48.5
TS0092,1963-1964,43.5
TS0092,1963-1964,45
TS0092,1963-1964,50
TS0094,1963-1964,31.5
TS0094,1963-1964,44
TS0094,1963-1964,47.5
TS0094,1963-1964,55
TS0094,1963-1964,48.5
TS0094,1963-1964,46
TS0094,1963-1964,49
TS0094,1963-1964,50
TS0095,1963-1964,47.5
TS0095,1963-1964,44
TS0095,1963-1964,41
TS0095,1963-1964,49
TS0095,1963-1964,53
TS0095,1963-1964,40.5
TS0095,1963-1964,50
TS0095,1963-1964,52.5
TS0098,1963-1964,50.5
TS0098,1963-1964,39
TS0098,1963-1964,47.5
TS0098,1963-1964,44
TS0098,1963-1964,41
TS0098,1963-1964,44.5
TS0098,1963-1964,53
TS0098,1963-1964,40.5
TS0098,1963-1964,50
TS0098,1963-1964,52.5
TS0099,1963-1964,48.5
TS0099,1963-1964,31
TS0099,1963-1964,51
TS0099,1963-1964,39.5
TS0099,1963-1964,55
TS0099,1963-1964,42.5
TS0099,1963-1964,45
TS0100,1963-1964,41.5
TS0100,1963-1964,51
TS0100,1963-1964,50.5
TS0100,1963-1964,47
TS0100,1963-1964,48
TS0100,1963-1964,33.5
TS0102,1963-1964,46
TS0102,1963-1964,49
TS0102,1963-1964,42
TS0102,1963-1964,44
TS0102,1963-1964,41
TS0102,1963-1964,45
TS0102,1963-1964,53
TS0102,1963-1964,40.5
TS0102,1963-1964,50
TS0102,1963-1964,52.5
TS0111,1963-1964,44
TS0111,1963-1964,55
TS0111,1963-1964,51
TS0111,1963-1964,48.5
TS0111,1963-1964,46
TS0111,1963-1964,49
TS0111,1963-1964,50
TS0112,1963-1964,51
TS0112,1963-1964,47.5
TS0112,1963-1964,50.5
TS0112,1963-1964,41
TS0112,1963-1964,53
TS0112,1963-1964,40.5
TS0112,1963-1964,50
TS0112,1963-1964,52.5
TS0113,1963-1964,40.5
TS0113,1963-1964,47
TS0113,1963-1964,48.5
TS0113,1963-1964,55
TS0113,1963-1964,42.5
TS0113,1963-1964,45
TS0116,1963-1964,41
TS0116,1963-1964,43
TS0116,1963-1964,53
TS0116,1963-1964,40.5
TS0116,1963-1964,50
TS0116,1963-1964,38
TS0116,1963-1964,30
TS0117,1963-1964,38.5
TS0117,1963-1964,32.5
TS0117,1963-1964,43
TS0117,1963-1964,35
TS0117,1963-1964,39
TS0117,1963-1964,38
TS0117,1963-1964,30
TS0121,1963-1964,48.5
TS0121,1963-1964,38.5
TS0121,1963-1964,43
TS0121,1963-1964,53
TS0121,1963-1964,38
TS0121,1963-1964,30
TS0123,1963-1964,41
TS0123,1963-1964,49
TS0123,1963-1964,44
TS0123,1963-1964,40.5
TS0123,1963-1964,50
TS0123,1963-1964,35
TS0125,1963-1964,44
TS0125,1963-1964,35
TS0125,1963-1964,43
TS0125,1963-1964,30
TS0125,1963-1964,36
TS0131,1963-1964,46
TS0131,1963-1964,32.5
TS0131,1963-1964,32
TS0131,1963-1964,40.5
TS0131,1963-1964,55
TS0131,1963-1964,33.5
TS0131,1963-1964,40
TS0136,1963-1964,48.5
TS0136,1963-1964,45
TS0136,1963-1964,55
TS0136,1963-1964,42.5
TS0136,1963-1964,50
TS0136,1963-1964,33
TS0136,1963-1964,33.5
TS0136,1963-1964,39
TS0137,1963-1964,50
TS0137,1963-1964,48
TS0137,1963-1964,45
TS0137,1963-1964,33
TS0137,1963-1964,33.5
TS0137,1963-1964,39
TS0140,1963-1964,31.5
TS0140,1963-1964,32.5
TS0140,1963-1964,49
TS0141,1963-1964,32.5
TS0141,1963-1964,51
TS0141,1963-1964,41.5
TS0141,1963-1964,38
TS0141,1963-1964,45
TS0141,1963-1964,51.5
TS0141,1963-1964,39.5
TS0141,1963-1964,31
TS0141,1963-1964,45.5
TS0141,1963-1964,30
TS0142,1963-1964,39
TS0142,1963-1964,50.5
TS0142,1963-1964,41.5
