experiment_id,instcode,genus,accenumb,agent_id,doi,plant_height,days_to_heading,early_growth_tendency,thousand_kernel_weight,name,description,campaign,site_name,longitude,latitude,remarks
3,NLD037,Hordeum,CGN00001,NA,10.18730/12WZ1,100,NA,6,44,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985,Born Wageningen,5.65,51.99,NA
3,NLD037,Hordeum,CGN00002,NA,10.18730/12X02,115,NA,6,37.7,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985,Born Wageningen,5.65,51.99,NA
3,NLD037,Hordeum,CGN00003,NA,10.18730/12X13,115,NA,6,47.1,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985,Born Wageningen,5.65,51.99,NA
3,NLD037,Hordeum,CGN00004,NA,10.18730/12X24,140,NA,6,53.7,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985,Born Wageningen,5.65,51.99,NA
3,NLD037,Hordeum,CGN00005,NA,10.18730/12X35,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985,Born Wageningen,5.65,51.99,NA
3,NLD037,Hordeum,CGN00006,NA,10.18730/12X46,130,NA,6,39.5,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985,Born Wageningen,5.65,51.99,NA
3,NLD037,Hordeum,CGN00007,NA,10.18730/12X57,95,NA,6,55,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985,Born Wageningen,5.65,51.99,NA
3,NLD037,Hordeum,CGN00008,NA,10.18730/12X68,90,NA,6,49.8,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985,Born Wageningen,5.65,51.99,NA
3,NLD037,Hordeum,CGN00009,NA,10.18730/12X79,100,NA,6,55.5,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985,Born Wageningen,5.65,51.99,NA
3,NLD037,Hordeum,CGN00011,NA,10.18730/12X9B,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985,Born Wageningen,5.65,51.99,NA
3,NLD037,Hordeum,CGN00012,NA,10.18730/12XAC,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985,Born Wageningen,5.65,51.99,NA
