genotype,plant_height_BLUE
CGN00001,NA
CGN00002,NA
CGN00003,NA
CGN00004,111.76
CGN00005,NA
CGN00006,NA
CGN00007,NA
CGN00008,NA
CGN00009,91.51
CGN00010,NA
CGN00011,NA
CGN00012,NA
CGN00013,NA
CGN00014,NA
CGN00015,NA
CGN00016,NA
CGN00017,NA
CGN00018,NA
CGN00019,NA
CGN00020,NA
CGN00021,NA
CGN00022,NA
CGN00023,NA
CGN00024,NA
CGN00025,NA
CGN00026,NA
CGN00027,NA
CGN00028,NA
CGN00029,NA
CGN00030,NA
CGN00031,NA
CGN00032,90.6
CGN00033,NA
CGN00034,NA
CGN00035,NA
CGN00036,NA
CGN00037,NA
CGN00038,NA
CGN00039,NA
CGN00040,NA
CGN00041,NA
CGN00042,NA
CGN00043,NA
CGN00044,NA
CGN00045,NA
CGN00046,NA
CGN00047,87.96
CGN00048,NA
CGN00049,NA
CGN00050,NA
CGN00051,NA
CGN00052,NA
CGN00053,NA
CGN00054,NA
CGN00055,NA
CGN00056,92.6
CGN00057,NA
CGN00058,NA
CGN00059,105.01
CGN00060,NA
CGN00061,NA
CGN00062,NA
CGN00063,NA
CGN00064,NA
CGN00065,NA
CGN00066,NA
CGN00067,NA
CGN00068,NA
CGN00069,NA
CGN00070,NA
CGN00071,NA
CGN00072,NA
CGN00073,NA
CGN00074,NA
CGN00075,NA
CGN00076,NA
CGN00077,NA
CGN00078,NA
CGN00079,NA
CGN00080,NA
CGN00081,NA
CGN00082,NA
CGN00083,NA
CGN00084,NA
CGN00085,NA
CGN00086,NA
CGN00087,NA
CGN00088,NA
CGN00089,NA
CGN00090,NA
CGN00091,NA
CGN00092,NA
CGN00093,NA
CGN00094,NA
CGN00095,NA
CGN00096,NA
CGN00098,NA
CGN00100,NA
CGN00101,NA
CGN00102,NA
CGN00103,93.07
CGN00104,NA
CGN00105,NA
CGN00106,97.83
CGN00107,NA
CGN00108,NA
CGN00109,NA
CGN00110,NA
CGN00111,NA
CGN00112,NA
CGN00113,NA
CGN00114,NA
CGN00115,NA
CGN00116,NA
CGN00117,NA
CGN00118,NA
CGN00119,NA
CGN00120,NA
CGN00121,NA
CGN00122,NA
CGN00123,NA
CGN00124,NA
CGN00125,NA
CGN00126,NA
CGN00127,NA
CGN00128,NA
CGN00129,NA
CGN00130,NA
CGN00131,NA
CGN00132,NA
CGN00133,NA
CGN00134,NA
CGN00135,NA
CGN00137,NA
CGN00138,NA
CGN00139,NA
CGN00140,NA
CGN00141,NA
CGN00142,NA
CGN00143,NA
CGN00144,NA
CGN00145,NA
CGN00146,NA
CGN00147,NA
CGN00148,NA
CGN00149,NA
CGN00150,NA
CGN00151,NA
CGN00152,NA
CGN00153,NA
CGN00154,NA
CGN00155,NA
CGN00156,NA
CGN00157,NA
CGN00158,NA
CGN00159,NA
CGN00160,NA
CGN00161,NA
CGN00162,NA
CGN00163,NA
CGN00164,NA
CGN00165,106.76
CGN00166,107.5
CGN00167,NA
CGN00168,NA
CGN00169,NA
CGN00170,NA
CGN00171,NA
CGN00172,NA
CGN00173,NA
CGN00174,NA
CGN00175,NA
CGN00176,102.3
CGN00177,104.78
CGN00178,NA
CGN00179,NA
CGN00180,NA
CGN00181,NA
CGN00182,NA
CGN00183,NA
CGN00184,NA
CGN00185,NA
CGN00186,NA
CGN00188,NA
CGN00189,NA
CGN00190,NA
CGN00191,NA
CGN00192,NA
CGN00193,NA
CGN00194,NA
CGN00195,NA
CGN00196,NA
CGN00197,NA
CGN00198,NA
CGN00199,NA
CGN00200,NA
CGN00201,NA
CGN00202,NA
CGN00203,NA
CGN00204,NA
CGN00205,NA
CGN00206,NA
CGN00207,59.51
CGN00210,NA
CGN00211,NA
CGN00212,NA
CGN00214,NA
CGN00217,NA
CGN00218,NA
CGN00220,NA
CGN00221,NA
CGN00222,NA
CGN00223,NA
CGN00225,NA
CGN00226,NA
CGN00227,NA
CGN00228,NA
CGN00229,NA
CGN00230,NA
CGN00233,NA
CGN00235,NA
CGN00237,NA
CGN00238,NA
CGN00239,NA
CGN00240,95.48
CGN00241,NA
CGN00242,NA
CGN00243,NA
CGN00244,NA
CGN00246,NA
CGN00247,NA
CGN00248,NA
CGN00250,NA
CGN00251,NA
CGN00253,NA
CGN00254,NA
CGN00255,NA
CGN00256,NA
CGN00258,NA
CGN00259,102.04
CGN00260,NA
CGN00261,99.68
CGN00263,NA
CGN00265,NA
CGN00266,NA
CGN00267,NA
CGN00268,NA
CGN00269,NA
CGN00270,NA
CGN00271,NA
CGN00272,NA
CGN00273,NA
CGN00274,NA
CGN00275,NA
CGN00276,NA
CGN00277,NA
CGN00278,NA
CGN00279,NA
CGN00281,NA
CGN00282,99.68
CGN00286,NA
CGN00287,82.88
CGN00288,NA
CGN00289,NA
CGN00290,NA
CGN00292,NA
CGN00294,108.23
CGN00295,NA
CGN00296,NA
CGN00297,NA
CGN00298,NA
CGN00299,NA
CGN00300,NA
CGN00301,NA
CGN00302,NA
CGN00303,100.6
CGN00304,NA
CGN00305,100.6
CGN00306,NA
CGN00307,NA
CGN00308,NA
CGN00309,NA
CGN00310,NA
CGN00311,NA
CGN00312,NA
CGN00313,NA
CGN00314,NA
CGN00315,NA
CGN00316,NA
CGN00317,NA
CGN00318,NA
CGN00319,NA
CGN00320,NA
CGN00321,NA
CGN00322,NA
CGN00323,NA
CGN00324,NA
CGN00325,NA
CGN00326,NA
CGN00327,NA
CGN00328,NA
CGN00329,80.6
CGN00330,NA
CGN00331,NA
CGN00332,NA
CGN00333,NA
CGN00334,NA
CGN00335,NA
CGN00336,NA
CGN00337,90.6
CGN00338,NA
CGN00339,NA
CGN00340,NA
CGN00341,94.29
CGN00342,88.83
CGN00343,NA
CGN00344,NA
CGN00345,NA
CGN00346,89.41
CGN00347,81.78
CGN00348,NA
CGN00349,NA
CGN00350,NA
CGN00351,NA
CGN00352,NA
CGN00353,NA
CGN00354,NA
CGN00355,NA
CGN00356,NA
CGN00357,NA
CGN00358,NA
CGN00359,NA
CGN00360,NA
CGN00361,NA
CGN00362,NA
CGN00363,NA
CGN00364,NA
CGN00365,NA
CGN00366,NA
CGN00369,NA
CGN00370,84.86
CGN00371,NA
CGN00373,NA
CGN00374,NA
CGN00375,NA
CGN00376,NA
CGN00377,NA
CGN00378,NA
CGN00379,NA
CGN00380,NA
CGN00381,NA
CGN00382,NA
CGN00383,NA
CGN00384,NA
CGN00385,NA
CGN00386,NA
CGN00387,NA
CGN00388,NA
CGN00389,NA
CGN00390,NA
CGN00391,NA
CGN00392,NA
CGN00393,NA
CGN00394,NA
CGN00395,NA
CGN00396,NA
CGN00397,NA
CGN00399,NA
CGN00400,NA
CGN00401,105.01
CGN00402,NA
CGN00403,NA
CGN00404,NA
CGN00405,NA
CGN00407,NA
CGN00411,NA
CGN00415,NA
CGN00416,NA
CGN00417,NA
CGN00423,NA
CGN00424,NA
CGN00425,NA
CGN00427,NA
CGN00428,NA
CGN00429,NA
CGN00430,NA
CGN00436,NA
CGN00437,NA
CGN00438,NA
CGN00439,NA
CGN00440,NA
CGN00441,NA
CGN00442,111.6
CGN00444,NA
CGN00445,NA
CGN00446,NA
CGN00447,NA
CGN00448,NA
CGN00449,NA
CGN00450,NA
CGN00451,NA
CGN00452,NA
CGN00453,NA
CGN00454,NA
CGN00455,NA
CGN00456,NA
CGN00457,NA
CGN00458,NA
CGN00459,NA
CGN00460,NA
CGN00461,NA
CGN00462,NA
CGN00463,NA
CGN00464,NA
CGN00465,NA
CGN00466,87.83
CGN00467,NA
CGN00468,NA
CGN00469,NA
CGN00470,NA
CGN00471,NA
CGN00472,NA
CGN00473,NA
CGN00474,NA
CGN00475,NA
CGN00476,NA
CGN00477,84.31
CGN00478,NA
CGN00479,NA
CGN00480,NA
CGN00481,NA
CGN00482,NA
CGN00483,NA
CGN00484,NA
CGN00485,NA
CGN00486,NA
CGN00487,NA
CGN00488,76.28
CGN00489,NA
CGN00490,NA
CGN00491,NA
CGN00492,NA
CGN00493,NA
CGN00495,85.82
CGN00496,NA
CGN00497,NA
CGN00498,NA
CGN00499,NA
CGN00500,NA
CGN00501,NA
CGN00502,93.8
CGN00503,NA
CGN00504,108.98
CGN00505,NA
CGN00506,NA
CGN00507,NA
CGN00508,103.42
CGN00509,86.76
CGN00510,NA
CGN00511,NA
CGN00512,NA
CGN00513,NA
CGN00514,NA
CGN00515,NA
CGN00516,NA
CGN00517,NA
CGN00518,90.82
CGN00519,NA
CGN00520,NA
CGN00521,NA
CGN00522,NA
CGN00523,92.31
CGN00524,92.51
CGN00525,NA
CGN00526,NA
CGN00527,96.06
CGN00536,NA
CGN00540,NA
CGN00545,NA
CGN00548,NA
CGN00549,NA
CGN00550,NA
CGN00553,90.8
CGN00554,91.9
CGN00562,NA
CGN00571,NA
CGN00572,104.55
CGN00573,NA
CGN00574,NA
CGN00575,83.05
CGN00576,97.88
CGN00577,81.76
CGN00578,94.55
CGN00579,NA
CGN00580,NA
CGN00581,NA
CGN00582,NA
CGN00583,98.98
CGN00584,88.8
CGN00587,113.98
CGN00589,NA
CGN00590,112.18
CGN00593,NA
CGN00594,NA
CGN00595,NA
CGN00596,NA
CGN00597,NA
CGN00598,NA
CGN00599,64.53
CGN00600,NA
CGN00601,NA
CGN00602,NA
CGN00603,NA
CGN00604,102.85
CGN00605,NA
CGN00606,NA
CGN00607,NA
CGN00608,NA
CGN00609,NA
CGN00610,NA
CGN00611,NA
CGN00612,NA
CGN00613,90.31
CGN00614,103.42
CGN00615,NA
CGN00616,NA
CGN00617,NA
CGN00618,NA
CGN00619,NA
CGN00620,104.55
CGN00621,104.55
CGN00622,96.09
CGN00623,94.1
CGN00624,96.76
CGN00625,NA
CGN00626,NA
CGN00627,NA
CGN00628,87.31
CGN00633,98.14
CGN00634,94.17
CGN00635,NA
CGN00636,83.8
CGN00642,120.67
CGN00647,NA
CGN00653,NA
CGN00655,74.53
CGN00656,65.13
CGN00657,NA
CGN00658,NA
CGN00659,95.13
CGN00660,97.22
CGN00661,NA
CGN00662,NA
CGN00663,NA
CGN00664,NA
CGN00665,111.76
CGN00666,NA
CGN00671,80.19
