accenumb,campaign,trait,value
CGN00004,1985-1985,plant_height,140
CGN00009,1985-1985,plant_height,100
CGN00032,1985-1985,plant_height,110
CGN00047,1985-1985,plant_height,95
CGN00056,1985-1985,plant_height,95
CGN00165,1985-1985,plant_height,110
CGN00166,1985-1985,plant_height,105
CGN00176,1985-1985,plant_height,105
CGN00177,1985-1985,plant_height,100
CGN00207,1985-1985,plant_height,70
CGN00240,1985-1985,plant_height,95
CGN00259,1985-1985,plant_height,110
CGN00261,1985-1985,plant_height,100
CGN00282,1985-1985,plant_height,100
CGN00287,1985-1985,plant_height,85
CGN00294,1985-1985,plant_height,120
CGN00303,1985-1985,plant_height,120
CGN00305,1985-1985,plant_height,120
CGN00329,1985-1985,plant_height,100
CGN00337,1985-1985,plant_height,110
CGN00341,1985-1985,plant_height,110
CGN00342,1985-1985,plant_height,95
CGN00346,1985-1985,plant_height,105
CGN00347,1985-1985,plant_height,105
CGN02588,1985-1985,plant_height,100
CGN02589,1985-1985,plant_height,115
CGN02590,1985-1985,plant_height,110
CGN02594,1985-1985,plant_height,100
CGN02597,1985-1985,plant_height,110
CGN02600,1985-1985,plant_height,105
CGN02603,1985-1985,plant_height,130
CGN02606,1985-1985,plant_height,105
CGN02608,1985-1985,plant_height,110
CGN02609,1985-1985,plant_height,105
CGN02610,1985-1985,plant_height,95
CGN02612,1985-1985,plant_height,125
CGN02613,1985-1985,plant_height,100
CGN02614,1985-1985,plant_height,115
CGN02615,1985-1985,plant_height,110
CGN02616,1985-1985,plant_height,100
CGN02618,1985-1985,plant_height,105
CGN02619,1985-1985,plant_height,100
CGN02621,1985-1985,plant_height,105
CGN02622,1985-1985,plant_height,115
CGN02623,1985-1985,plant_height,110
CGN02629,1985-1985,plant_height,115
CGN02630,1985-1985,plant_height,120
CGN02631,1985-1985,plant_height,125
CGN02633,1985-1985,plant_height,125
CGN02635,1985-1985,plant_height,135
CGN02636,1985-1985,plant_height,115
CGN02282,1985-1986,plant_height,130
CGN02286,1985-1986,plant_height,130
CGN02287,1985-1986,plant_height,115
CGN02288,1985-1986,plant_height,115
CGN02290,1985-1986,plant_height,70
CGN02293,1985-1986,plant_height,100
CGN02294,1985-1986,plant_height,110
CGN02295,1985-1986,plant_height,110
CGN02296,1985-1986,plant_height,100
CGN02298,1985-1986,plant_height,70
CGN02299,1985-1986,plant_height,65
CGN02306,1985-1986,plant_height,100
CGN02307,1985-1986,plant_height,80
CGN02308,1985-1986,plant_height,90
CGN02309,1985-1986,plant_height,145
CGN02310,1985-1986,plant_height,145
CGN02311,1985-1986,plant_height,100
CGN02314,1985-1986,plant_height,70
CGN02315,1985-1986,plant_height,100
CGN02316,1985-1986,plant_height,110
CGN02319,1985-1986,plant_height,60
CGN02325,1985-1986,plant_height,75
CGN02326,1985-1986,plant_height,75
CGN02329,1985-1986,plant_height,95
CGN00056,1986-1986,plant_height,100
CGN00059,1986-1986,plant_height,115
CGN00103,1986-1986,plant_height,95
CGN00106,1986-1986,plant_height,110
CGN00240,1986-1986,plant_height,105
CGN00370,1986-1986,plant_height,90
CGN00401,1986-1986,plant_height,115
CGN00442,1986-1986,plant_height,100
CGN00466,1986-1986,plant_height,100
CGN00477,1986-1986,plant_height,100
CGN00488,1986-1986,plant_height,90
CGN00495,1986-1986,plant_height,100
CGN00518,1986-1986,plant_height,90
CGN00553,1986-1986,plant_height,90
CGN00554,1986-1986,plant_height,90
CGN01229,1986-1986,plant_height,80
CGN01230,1986-1986,plant_height,70
CGN01256,1986-1986,plant_height,95
CGN01271,1986-1986,plant_height,85
CGN01273,1986-1986,plant_height,85
CGN01278,1986-1986,plant_height,85
CGN01286,1986-1986,plant_height,80
CGN01287,1986-1986,plant_height,85
CGN01288,1986-1986,plant_height,80
CGN01293,1986-1986,plant_height,80
CGN01298,1986-1986,plant_height,50
CGN01301,1986-1986,plant_height,80
CGN01309,1986-1986,plant_height,85
CGN01317,1986-1986,plant_height,95
CGN01321,1986-1986,plant_height,105
CGN01326,1986-1986,plant_height,100
CGN01327,1986-1986,plant_height,95
CGN01336,1986-1986,plant_height,90
CGN01340,1986-1986,plant_height,80
CGN01349,1986-1986,plant_height,95
CGN01350,1986-1986,plant_height,80
CGN01351,1986-1986,plant_height,95
CGN01365,1986-1986,plant_height,70
CGN01366,1986-1986,plant_height,65
CGN01372,1986-1986,plant_height,75
CGN01375,1986-1986,plant_height,65
CGN01378,1986-1986,plant_height,75
CGN01384,1986-1986,plant_height,75
CGN01400,1986-1986,plant_height,80
CGN01404,1986-1986,plant_height,70
CGN01407,1986-1986,plant_height,75
CGN01411,1986-1986,plant_height,80
CGN01412,1986-1986,plant_height,85
CGN01415,1986-1986,plant_height,80
CGN01417,1986-1986,plant_height,70
CGN01419,1986-1986,plant_height,75
CGN01424,1986-1986,plant_height,75
CGN01426,1986-1986,plant_height,70
CGN01427,1986-1986,plant_height,65
CGN01428,1986-1986,plant_height,85
CGN01433,1986-1986,plant_height,75
CGN01437,1986-1986,plant_height,70
CGN01445,1986-1986,plant_height,80
CGN01447,1986-1986,plant_height,75
CGN02436,1986-1986,plant_height,75
CGN02439,1986-1986,plant_height,60
CGN02444,1986-1986,plant_height,80
CGN02447,1986-1986,plant_height,80
CGN02450,1986-1986,plant_height,70
CGN02452,1986-1986,plant_height,65
CGN02454,1986-1986,plant_height,65
CGN02457,1986-1986,plant_height,75
CGN02458,1986-1986,plant_height,80
CGN02469,1986-1986,plant_height,80
CGN02472,1986-1986,plant_height,80
CGN02478,1986-1986,plant_height,70
CGN02482,1986-1986,plant_height,85
CGN02495,1986-1986,plant_height,80
CGN02588,1986-1986,plant_height,105
CGN02589,1986-1986,plant_height,110
CGN02590,1986-1986,plant_height,105
CGN02594,1986-1986,plant_height,115
CGN02597,1986-1986,plant_height,105
CGN02600,1986-1986,plant_height,100
CGN02603,1986-1986,plant_height,120
CGN02606,1986-1986,plant_height,110
CGN02608,1986-1986,plant_height,110
CGN02609,1986-1986,plant_height,105
CGN02612,1986-1986,plant_height,110
CGN02613,1986-1986,plant_height,85
CGN02614,1986-1986,plant_height,105
CGN02615,1986-1986,plant_height,110
CGN02616,1986-1986,plant_height,105
CGN02618,1986-1986,plant_height,105
CGN02619,1986-1986,plant_height,100
CGN02621,1986-1986,plant_height,100
CGN02622,1986-1986,plant_height,95
CGN02623,1986-1986,plant_height,90
CGN02629,1986-1986,plant_height,115
CGN03354,1986-1986,plant_height,115
CGN03355,1986-1986,plant_height,100
CGN03357,1986-1986,plant_height,110
CGN03359,1986-1986,plant_height,110
CGN03360,1986-1986,plant_height,100
CGN03362,1986-1986,plant_height,90
CGN03364,1986-1986,plant_height,100
CGN03367,1986-1986,plant_height,105
CGN03372,1986-1986,plant_height,100
CGN03374,1986-1986,plant_height,110
CGN03378,1986-1986,plant_height,110
CGN03382,1986-1986,plant_height,115
CGN00502,1987-1987,plant_height,100
CGN00504,1987-1987,plant_height,115
CGN00508,1987-1987,plant_height,105
CGN00523,1987-1987,plant_height,100
CGN00524,1987-1987,plant_height,110
CGN00527,1987-1987,plant_height,100
CGN00572,1987-1987,plant_height,115
CGN00575,1987-1987,plant_height,85
CGN00576,1987-1987,plant_height,100
CGN00577,1987-1987,plant_height,100
CGN00578,1987-1987,plant_height,105
CGN00583,1987-1987,plant_height,105
CGN00584,1987-1987,plant_height,95
CGN00587,1987-1987,plant_height,120
CGN00590,1987-1987,plant_height,125
CGN00599,1987-1987,plant_height,75
CGN00604,1987-1987,plant_height,110
CGN00613,1987-1987,plant_height,105
CGN00614,1987-1987,plant_height,105
CGN00620,1987-1987,plant_height,115
CGN00621,1987-1987,plant_height,115
CGN00622,1987-1987,plant_height,95
CGN00623,1987-1987,plant_height,95
CGN00624,1987-1987,plant_height,115
CGN00628,1987-1987,plant_height,80
CGN00633,1987-1987,plant_height,105
CGN00634,1987-1987,plant_height,105
CGN00636,1987-1987,plant_height,90
CGN00642,1987-1987,plant_height,145
CGN00655,1987-1987,plant_height,85
CGN00656,1987-1987,plant_height,90
CGN00659,1987-1987,plant_height,120
CGN00660,1987-1987,plant_height,100
CGN00665,1987-1987,plant_height,120
CGN00671,1987-1987,plant_height,95
CGN00793,1987-1987,plant_height,110
CGN00795,1987-1987,plant_height,135
CGN00800,1987-1987,plant_height,95
CGN00808,1987-1987,plant_height,90
CGN00816,1987-1987,plant_height,95
CGN00818,1987-1987,plant_height,115
CGN00821,1987-1987,plant_height,115
CGN00829,1987-1987,plant_height,115
CGN00858,1987-1987,plant_height,110
CGN00861,1987-1987,plant_height,80
CGN00870,1987-1987,plant_height,115
CGN00873,1987-1987,plant_height,85
CGN00877,1987-1987,plant_height,135
CGN00878,1987-1987,plant_height,100
CGN00880,1987-1987,plant_height,85
CGN00888,1987-1987,plant_height,115
CGN00906,1987-1987,plant_height,115
CGN00914,1987-1987,plant_height,100
CGN00915,1987-1987,plant_height,105
CGN00918,1987-1987,plant_height,100
CGN00925,1987-1987,plant_height,90
CGN01630,1987-1987,plant_height,90
CGN01631,1987-1987,plant_height,90
CGN01632,1987-1987,plant_height,90
CGN01634,1987-1987,plant_height,85
CGN01645,1987-1987,plant_height,90
CGN01647,1987-1987,plant_height,90
CGN01648,1987-1987,plant_height,85
CGN01649,1987-1987,plant_height,90
CGN01652,1987-1987,plant_height,95
CGN01657,1987-1987,plant_height,85
CGN01664,1987-1987,plant_height,85
CGN01685,1987-1987,plant_height,85
CGN01686,1987-1987,plant_height,90
CGN01687,1987-1987,plant_height,90
CGN01688,1987-1987,plant_height,80
CGN01691,1987-1987,plant_height,85
CGN01695,1987-1987,plant_height,80
CGN01698,1987-1987,plant_height,85
CGN01700,1987-1987,plant_height,90
CGN01706,1987-1987,plant_height,95
CGN01709,1987-1987,plant_height,80
CGN01729,1987-1987,plant_height,90
CGN01754,1987-1987,plant_height,85
CGN01761,1987-1987,plant_height,80
CGN01768,1987-1987,plant_height,90
CGN01769,1987-1987,plant_height,90
CGN01771,1987-1987,plant_height,90
CGN01772,1987-1987,plant_height,75
CGN01774,1987-1987,plant_height,85
CGN01776,1987-1987,plant_height,70
CGN01781,1987-1987,plant_height,75
CGN01782,1987-1987,plant_height,65
CGN01788,1987-1987,plant_height,55
CGN01791,1987-1987,plant_height,65
CGN01792,1987-1987,plant_height,60
CGN01794,1987-1987,plant_height,65
CGN01799,1987-1987,plant_height,65
CGN01800,1987-1987,plant_height,65
CGN01806,1987-1987,plant_height,65
CGN01808,1987-1987,plant_height,65
CGN01809,1987-1987,plant_height,85
CGN01810,1987-1987,plant_height,90
CGN01813,1987-1987,plant_height,60
CGN01817,1987-1987,plant_height,75
CGN01820,1987-1987,plant_height,70
CGN01822,1987-1987,plant_height,70
CGN01824,1987-1987,plant_height,70
CGN01825,1987-1987,plant_height,75
CGN01830,1987-1987,plant_height,90
CGN01831,1987-1987,plant_height,65
CGN12999,1987-1988,plant_height,105
CGN13000,1987-1988,plant_height,95
CGN13001,1987-1988,plant_height,105
CGN13002,1987-1988,plant_height,105
CGN13003,1987-1988,plant_height,110
CGN13004,1987-1988,plant_height,105
CGN13005,1987-1988,plant_height,100
CGN13006,1987-1988,plant_height,95
CGN13007,1987-1988,plant_height,80
CGN13008,1987-1988,plant_height,95
CGN13009,1987-1988,plant_height,90
CGN13010,1987-1988,plant_height,90
CGN00103,1988-1988,plant_height,95
CGN00932,1988-1988,plant_height,85
CGN00952,1988-1988,plant_height,80
CGN00955,1988-1988,plant_height,90
CGN00962,1988-1988,plant_height,90
CGN00970,1988-1988,plant_height,95
CGN00985,1988-1988,plant_height,90
CGN01006,1988-1988,plant_height,80
CGN01023,1988-1988,plant_height,85
CGN01048,1988-1988,plant_height,85
CGN01049,1988-1988,plant_height,80
CGN01050,1988-1988,plant_height,70
CGN01051,1988-1988,plant_height,75
CGN01059,1988-1988,plant_height,60
CGN01083,1988-1988,plant_height,75
CGN01096,1988-1988,plant_height,80
CGN01109,1988-1988,plant_height,85
CGN01114,1988-1988,plant_height,95
CGN01147,1988-1988,plant_height,90
CGN01153,1988-1988,plant_height,110
CGN01176,1988-1988,plant_height,85
CGN01183,1988-1988,plant_height,75
CGN01186,1988-1988,plant_height,70
CGN01190,1988-1988,plant_height,80
CGN01191,1988-1988,plant_height,60
CGN01192,1988-1988,plant_height,75
CGN01195,1988-1988,plant_height,70
CGN01196,1988-1988,plant_height,70
CGN01199,1988-1988,plant_height,80
CGN01202,1988-1988,plant_height,80
CGN01207,1988-1988,plant_height,60
CGN01211,1988-1988,plant_height,65
CGN01212,1988-1988,plant_height,70
CGN01215,1988-1988,plant_height,65
CGN01810,1988-1988,plant_height,85
CGN02540,1988-1988,plant_height,85
CGN02541,1988-1988,plant_height,90
CGN02542,1988-1988,plant_height,90
CGN02546,1988-1988,plant_height,80
CGN02551,1988-1988,plant_height,100
CGN02552,1988-1988,plant_height,95
CGN02554,1988-1988,plant_height,100
CGN02555,1988-1988,plant_height,90
CGN02556,1988-1988,plant_height,110
CGN02557,1988-1988,plant_height,95
CGN02563,1988-1988,plant_height,100
CGN02566,1988-1988,plant_height,100
CGN02567,1988-1988,plant_height,105
CGN02568,1988-1988,plant_height,100
CGN02569,1988-1988,plant_height,105
CGN02570,1988-1988,plant_height,100
CGN02572,1988-1988,plant_height,105
CGN02573,1988-1988,plant_height,90
CGN02576,1988-1988,plant_height,90
CGN02577,1988-1988,plant_height,90
CGN02580,1988-1988,plant_height,95
CGN02582,1988-1988,plant_height,95
CGN02608,1988-1988,plant_height,110
CGN02616,1988-1988,plant_height,120
CGN02721,1988-1988,plant_height,100
CGN02729,1988-1988,plant_height,100
CGN02730,1988-1988,plant_height,100
CGN02735,1988-1988,plant_height,105
CGN02737,1988-1988,plant_height,100
CGN02739,1988-1988,plant_height,105
CGN02741,1988-1988,plant_height,105
CGN02745,1988-1988,plant_height,100
CGN02746,1988-1988,plant_height,100
CGN02748,1988-1988,plant_height,110
CGN02750,1988-1988,plant_height,105
CGN02752,1988-1988,plant_height,110
CGN02757,1988-1988,plant_height,110
CGN02758,1988-1988,plant_height,105
CGN02759,1988-1988,plant_height,105
CGN02760,1988-1988,plant_height,105
CGN02761,1988-1988,plant_height,95
CGN02762,1988-1988,plant_height,95
CGN02763,1988-1988,plant_height,110
CGN02765,1988-1988,plant_height,100
CGN02767,1988-1988,plant_height,100
CGN02768,1988-1988,plant_height,95
CGN02770,1988-1988,plant_height,100
CGN02773,1988-1988,plant_height,105
CGN02777,1988-1988,plant_height,80
CGN02781,1988-1988,plant_height,90
CGN02782,1988-1988,plant_height,95
CGN02791,1988-1988,plant_height,100
CGN02806,1988-1988,plant_height,110
CGN02820,1988-1988,plant_height,100
CGN02823,1988-1988,plant_height,100
CGN02825,1988-1988,plant_height,95
CGN02826,1988-1988,plant_height,95
CGN02827,1988-1988,plant_height,95
CGN02833,1988-1988,plant_height,100
CGN02834,1988-1988,plant_height,120
CGN02838,1988-1988,plant_height,90
CGN02839,1988-1988,plant_height,85
CGN02842,1988-1988,plant_height,90
CGN02845,1988-1988,plant_height,100
CGN02848,1988-1988,plant_height,95
CGN02853,1988-1988,plant_height,110
CGN02857,1988-1988,plant_height,100
CGN11276,1988-1988,plant_height,80
CGN11284,1988-1988,plant_height,70
CGN11286,1988-1988,plant_height,80
CGN11289,1988-1988,plant_height,80
CGN11290,1988-1988,plant_height,80
CGN11293,1988-1988,plant_height,70
CGN11294,1988-1988,plant_height,75
CGN11301,1988-1988,plant_height,95
CGN11305,1988-1988,plant_height,105
CGN11307,1988-1988,plant_height,80
CGN11308,1988-1988,plant_height,75
CGN11310,1988-1988,plant_height,80
CGN11856,1988-1988,plant_height,80
CGN11857,1988-1988,plant_height,70
CGN11858,1988-1988,plant_height,85
CGN11859,1988-1988,plant_height,75
CGN11861,1988-1988,plant_height,70
CGN11862,1988-1988,plant_height,70
CGN11863,1988-1988,plant_height,85
CGN11865,1988-1988,plant_height,70
CGN11867,1988-1988,plant_height,80
CGN01622,1988-1989,plant_height,90
CGN01624,1988-1989,plant_height,85
CGN01626,1988-1989,plant_height,85
CGN01643,1988-1989,plant_height,90
CGN01658,1988-1989,plant_height,80
CGN01689,1988-1989,plant_height,80
CGN01953,1988-1989,plant_height,110
CGN02290,1988-1989,plant_height,85
CGN02298,1988-1989,plant_height,80
CGN02308,1988-1989,plant_height,110
CGN02311,1988-1989,plant_height,125
CGN02314,1988-1989,plant_height,105
CGN02315,1988-1989,plant_height,115
CGN02316,1988-1989,plant_height,110
CGN02319,1988-1989,plant_height,80
CGN02325,1988-1989,plant_height,110
CGN02326,1988-1989,plant_height,100
CGN12999,1988-1989,plant_height,100
CGN13000,1988-1989,plant_height,100
CGN13001,1988-1989,plant_height,100
CGN13002,1988-1989,plant_height,100
CGN13003,1988-1989,plant_height,105
CGN13004,1988-1989,plant_height,105
CGN13005,1988-1989,plant_height,110
CGN13006,1988-1989,plant_height,105
CGN13007,1988-1989,plant_height,100
CGN13008,1988-1989,plant_height,90
CGN13009,1988-1989,plant_height,80
CGN13010,1988-1989,plant_height,80
CGN00207,1989-1989,plant_height,60
CGN00342,1989-1989,plant_height,95
CGN00576,1989-1989,plant_height,90
CGN00590,1989-1989,plant_height,100
CGN00622,1989-1989,plant_height,105
CGN00623,1989-1989,plant_height,100
CGN00624,1989-1989,plant_height,75
CGN00633,1989-1989,plant_height,95
CGN00634,1989-1989,plant_height,85
CGN00656,1989-1989,plant_height,50
CGN00659,1989-1989,plant_height,80
CGN00671,1989-1989,plant_height,65
CGN00793,1989-1989,plant_height,110
CGN00795,1989-1989,plant_height,120
CGN00800,1989-1989,plant_height,90
CGN00816,1989-1989,plant_height,60
CGN00818,1989-1989,plant_height,80
CGN00870,1989-1989,plant_height,90
CGN00878,1989-1989,plant_height,70
CGN00880,1989-1989,plant_height,45
CGN00888,1989-1989,plant_height,85
CGN00906,1989-1989,plant_height,95
CGN00925,1989-1989,plant_height,70
CGN00932,1989-1989,plant_height,90
CGN00955,1989-1989,plant_height,85
CGN00970,1989-1989,plant_height,90
CGN00985,1989-1989,plant_height,85
CGN01006,1989-1989,plant_height,75
CGN01023,1989-1989,plant_height,80
CGN01048,1989-1989,plant_height,90
CGN01049,1989-1989,plant_height,80
CGN01050,1989-1989,plant_height,85
CGN01051,1989-1989,plant_height,90
CGN01059,1989-1989,plant_height,75
CGN01083,1989-1989,plant_height,85
CGN01096,1989-1989,plant_height,85
CGN01120,1989-1989,plant_height,110
CGN01147,1989-1989,plant_height,90
CGN01153,1989-1989,plant_height,100
CGN01176,1989-1989,plant_height,85
CGN01183,1989-1989,plant_height,80
CGN01186,1989-1989,plant_height,70
CGN01190,1989-1989,plant_height,70
CGN01191,1989-1989,plant_height,70
CGN01192,1989-1989,plant_height,75
CGN01195,1989-1989,plant_height,80
CGN01199,1989-1989,plant_height,85
CGN01202,1989-1989,plant_height,70
CGN01207,1989-1989,plant_height,65
CGN01211,1989-1989,plant_height,70
CGN01212,1989-1989,plant_height,70
CGN01215,1989-1989,plant_height,70
CGN01230,1989-1989,plant_height,70
CGN01286,1989-1989,plant_height,85
CGN01298,1989-1989,plant_height,50
CGN01366,1989-1989,plant_height,65
CGN01378,1989-1989,plant_height,70
CGN01384,1989-1989,plant_height,65
CGN01437,1989-1989,plant_height,70
CGN01631,1989-1989,plant_height,90
CGN01634,1989-1989,plant_height,90
CGN01657,1989-1989,plant_height,95
CGN01685,1989-1989,plant_height,105
CGN01686,1989-1989,plant_height,100
CGN01687,1989-1989,plant_height,95
CGN01688,1989-1989,plant_height,100
CGN01691,1989-1989,plant_height,100
CGN01698,1989-1989,plant_height,95
CGN01729,1989-1989,plant_height,95
CGN01754,1989-1989,plant_height,95
CGN01768,1989-1989,plant_height,105
CGN01772,1989-1989,plant_height,75
CGN01776,1989-1989,plant_height,75
CGN01781,1989-1989,plant_height,80
CGN01782,1989-1989,plant_height,90
CGN01788,1989-1989,plant_height,80
CGN01791,1989-1989,plant_height,90
CGN01792,1989-1989,plant_height,80
CGN01794,1989-1989,plant_height,75
CGN01806,1989-1989,plant_height,95
CGN01808,1989-1989,plant_height,85
CGN01810,1989-1989,plant_height,105
CGN01813,1989-1989,plant_height,70
CGN01820,1989-1989,plant_height,70
CGN01822,1989-1989,plant_height,75
CGN01824,1989-1989,plant_height,75
CGN01831,1989-1989,plant_height,70
CGN02420,1989-1989,plant_height,65
CGN02422,1989-1989,plant_height,65
CGN02425,1989-1989,plant_height,55
CGN02427,1989-1989,plant_height,60
CGN02430,1989-1989,plant_height,60
CGN02435,1989-1989,plant_height,60
CGN02437,1989-1989,plant_height,75
CGN02444,1989-1989,plant_height,75
CGN02445,1989-1989,plant_height,65
CGN02446,1989-1989,plant_height,75
CGN02455,1989-1989,plant_height,75
CGN02460,1989-1989,plant_height,75
CGN02461,1989-1989,plant_height,75
CGN02465,1989-1989,plant_height,70
CGN02467,1989-1989,plant_height,80
CGN02471,1989-1989,plant_height,75
CGN02476,1989-1989,plant_height,65
CGN02487,1989-1989,plant_height,75
CGN02490,1989-1989,plant_height,95
CGN02496,1989-1989,plant_height,80
CGN02498,1989-1989,plant_height,75
CGN02500,1989-1989,plant_height,70
CGN02513,1989-1989,plant_height,75
CGN02516,1989-1989,plant_height,70
CGN02517,1989-1989,plant_height,85
CGN02540,1989-1989,plant_height,80
CGN02541,1989-1989,plant_height,85
CGN02542,1989-1989,plant_height,105
CGN02551,1989-1989,plant_height,105
CGN02557,1989-1989,plant_height,115
CGN02566,1989-1989,plant_height,115
CGN02567,1989-1989,plant_height,120
CGN02573,1989-1989,plant_height,90
CGN02576,1989-1989,plant_height,110
CGN02577,1989-1989,plant_height,95
CGN02582,1989-1989,plant_height,95
CGN02589,1989-1989,plant_height,90
CGN02590,1989-1989,plant_height,90
CGN02594,1989-1989,plant_height,95
CGN02597,1989-1989,plant_height,95
CGN02600,1989-1989,plant_height,85
CGN02603,1989-1989,plant_height,95
CGN02608,1989-1989,plant_height,90
CGN02614,1989-1989,plant_height,90
CGN02615,1989-1989,plant_height,85
CGN02618,1989-1989,plant_height,70
CGN02619,1989-1989,plant_height,80
CGN02621,1989-1989,plant_height,85
CGN02622,1989-1989,plant_height,75
CGN02623,1989-1989,plant_height,85
CGN02629,1989-1989,plant_height,100
CGN02636,1989-1989,plant_height,70
CGN02735,1989-1989,plant_height,130
CGN02745,1989-1989,plant_height,120
CGN02746,1989-1989,plant_height,120
CGN02750,1989-1989,plant_height,130
CGN02791,1989-1989,plant_height,120
CGN02820,1989-1989,plant_height,115
CGN02823,1989-1989,plant_height,100
CGN02825,1989-1989,plant_height,100
CGN02833,1989-1989,plant_height,110
CGN02845,1989-1989,plant_height,115
CGN02848,1989-1989,plant_height,115
CGN03354,1989-1989,plant_height,90
CGN03355,1989-1989,plant_height,80
CGN03357,1989-1989,plant_height,85
CGN11284,1989-1989,plant_height,70
CGN11293,1989-1989,plant_height,80
