experiment_id,instcode,genus,accenumb,agent_id,doi,plant_height,days_to_heading,early_growth_tendency,thousand_kernel_weight,name,description,campaign,site_name,longitude,latitude,remarks
9,NLD037,Triticum,CGN04263,NA,10.18730/1187F,120,170,7,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04264,NA,10.18730/1188G,120,174,7,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04265,NA,10.18730/1189H,135,175,8,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04266,NA,10.18730/118BK,100,156,4,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04268,NA,10.18730/118CM,110,166,6,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04273,NA,10.18730/118DN,110,176,8,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04274,NA,10.18730/118EP,110,162,5,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04276,NA,10.18730/118FQ,100,172,7,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04277,NA,10.18730/118GR,90,156,4,47.1,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04278,NA,10.18730/118KV,65,161,5,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04279,NA,10.18730/118MW,105,163,5,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04280,NA,10.18730/118PY,NA,161,5,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04281,NA,10.18730/118QZ,105,163,5,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04282,NA,10.18730/118R*,120,162,5,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04283,NA,10.18730/118T$,110,162,5,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04284,NA,10.18730/118V=,105,162,5,37.9,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04287,NA,10.18730/118Z2,100,156,4,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
9,NLD037,Triticum,CGN04288,NA,10.18730/11925,105,166,6,NA,Multiplication Winter Wheat Wageningen,"Location: Born Wageningen, sandy soil.",1984-1985,Wageningen,5.65,51.99,NA
