genotype,days_to_heading_BLUE,plant_height_BLUE
CGN013718,NA,NA
CGN013723,NA,NA
CGN013753,NA,NA
CGN013785,NA,NA
CGN013832,NA,NA
CGN013841,NA,NA
CGN013843,NA,NA
CGN013862,NA,NA
CGN013868,NA,NA
CGN013870,NA,NA
CGN013873,NA,NA
CGN04038,NA,86.47
CGN04039,NA,NA
CGN04041,NA,NA
CGN04042,NA,102.73
CGN04043,NA,NA
CGN04044,NA,102.67
CGN04047,NA,NA
CGN04049,NA,148.51
CGN04050,NA,NA
CGN04051,NA,128.51
CGN04052,NA,NA
CGN04053,NA,NA
CGN04054,NA,147.85
CGN04055,NA,NA
CGN04056,NA,NA
CGN04057,NA,NA
CGN04060,NA,91.47
CGN04062,NA,NA
CGN04063,NA,NA
CGN04064,NA,NA
CGN04070,NA,NA
CGN04071,NA,NA
CGN04072,NA,NA
CGN04073,NA,NA
CGN04074,NA,88.51
CGN04075,NA,NA
CGN04076,NA,NA
CGN04077,NA,NA
CGN04078,NA,106.46
CGN04079,NA,NA
CGN04080,NA,NA
CGN04083,NA,121.33
CGN04084,NA,NA
CGN04085,NA,NA
CGN04086,NA,100.57
CGN04089,NA,NA
CGN04090,NA,NA
CGN04092,NA,NA
CGN04093,NA,NA
CGN04095,NA,NA
CGN04096,NA,NA
CGN04097,NA,NA
CGN04098,NA,NA
CGN04099,NA,NA
CGN04100,NA,NA
CGN04101,NA,NA
CGN04102,NA,NA
CGN04103,NA,NA
CGN04104,NA,NA
CGN04105,NA,NA
CGN04106,NA,NA
CGN04107,NA,NA
CGN04108,NA,NA
CGN04109,NA,NA
CGN04110,NA,NA
CGN04111,NA,NA
CGN04112,NA,NA
CGN04113,NA,NA
CGN04114,NA,NA
CGN04115,NA,NA
CGN04116,NA,NA
CGN04117,NA,NA
CGN04118,NA,NA
CGN04119,NA,83.11
CGN04120,NA,89.84
CGN04121,NA,86.47
CGN04122,NA,117.85
CGN04123,NA,NA
CGN04124,NA,NA
CGN04127,NA,NA
CGN04128,NA,NA
CGN04130,NA,NA
CGN04131,NA,NA
CGN04133,NA,NA
CGN04134,NA,NA
CGN04135,NA,116.57
CGN04137,NA,NA
CGN04138,NA,NA
CGN04139,NA,NA
CGN04140,NA,NA
CGN04141,NA,NA
CGN04142,NA,NA
CGN04146,NA,NA
CGN04147,162.03,123.51
CGN04149,NA,73.21
CGN04150,NA,113.51
CGN04151,NA,NA
CGN04152,NA,NA
CGN04153,NA,NA
CGN04154,NA,NA
CGN04155,NA,NA
CGN04156,NA,111.47
CGN04157,NA,NA
CGN04158,NA,119.74
CGN04159,NA,NA
CGN04160,NA,NA
CGN04161,NA,NA
CGN04162,175.92,136.33
CGN04163,NA,NA
CGN04164,167.72,131.58
CGN04165,NA,NA
CGN04166,NA,NA
CGN04167,NA,106.01
CGN04168,NA,NA
CGN04169,161.99,92.67
CGN04170,NA,NA
CGN04172,NA,NA
CGN04173,NA,NA
CGN04174,NA,NA
CGN04175,NA,NA
CGN04176,NA,NA
CGN04178,NA,NA
CGN04179,NA,NA
CGN04180,NA,NA
CGN04181,NA,NA
CGN04182,NA,NA
CGN04183,NA,NA
CGN04184,NA,NA
CGN04192,NA,NA
CGN04196,NA,NA
CGN04198,NA,NA
CGN04199,NA,NA
CGN04203,NA,NA
CGN04206,NA,NA
CGN04208,NA,NA
CGN04209,NA,NA
CGN04214,NA,NA
CGN04215,NA,NA
CGN04221,NA,95.95
CGN04246,NA,NA
CGN04247,NA,92.78
CGN04248,160.03,90.17
CGN04249,NA,92.55
CGN04250,164.29,84.71
CGN04251,161.03,93.5
CGN04252,NA,112.78
CGN04253,NA,NA
CGN04254,NA,NA
CGN04255,NA,113.57
CGN04256,NA,107.78
CGN04257,NA,NA
CGN04258,NA,NA
CGN04259,163.72,107.13
CGN04260,NA,NA
CGN04261,NA,105.97
CGN04262,NA,NA
CGN04263,NA,NA
CGN04264,NA,135.8
CGN04265,NA,141.2
CGN04266,NA,NA
CGN04268,NA,115.06
CGN04273,NA,NA
CGN04274,NA,NA
CGN04276,NA,NA
CGN04277,NA,NA
CGN04278,NA,NA
CGN04279,NA,124.99
CGN04280,NA,NA
CGN04281,NA,NA
CGN04282,NA,NA
CGN04283,NA,NA
CGN04284,NA,NA
CGN04287,NA,NA
CGN04288,NA,NA
CGN04289,NA,NA
CGN04290,NA,NA
CGN04291,NA,134.99
CGN04293,NA,NA
CGN04294,NA,103.36
CGN04295,NA,130.15
CGN04297,NA,116.02
CGN04298,NA,121.83
CGN04299,NA,127.25
CGN04300,NA,NA
CGN04301,NA,131.9
CGN04302,NA,NA
CGN04304,NA,108.63
CGN04305,NA,NA
CGN04306,NA,NA
CGN04307,NA,NA
CGN04308,NA,NA
CGN04309,NA,91.36
CGN04310,NA,92.64
CGN04311,NA,NA
CGN04312,NA,NA
CGN04314,NA,127.49
CGN04315,NA,NA
CGN04318,NA,NA
CGN04319,NA,96.52
CGN04322,NA,NA
CGN04324,NA,NA
CGN04325,NA,NA
CGN04326,NA,133.36
CGN04327,NA,NA
CGN04328,NA,NA
CGN04331,NA,NA
CGN04332,156.27,138.72
CGN04334,NA,118.54
CGN04336,NA,NA
CGN04337,NA,NA
CGN04338,NA,NA
CGN04339,NA,127.89
CGN04340,NA,132.33
CGN04341,NA,NA
CGN04342,NA,130.8
CGN04343,NA,NA
CGN04344,NA,NA
CGN04345,NA,NA
CGN04346,NA,119.42
CGN04347,NA,118.46
CGN04348,NA,116.83
CGN04351,NA,126.52
CGN04352,NA,125.72
CGN04354,NA,NA
CGN04355,NA,NA
CGN04356,NA,NA
CGN04357,NA,133.74
CGN04358,NA,NA
CGN04359,NA,NA
