accenumb,campaign,days_to_heading
CGN04332,1984-1985,161
CGN05360,1984-1985,162
CGN05381,1984-1985,162
CGN05652,1984-1985,168
CGN05684,1984-1985,159
CGN05685,1984-1985,155
CGN05724,1984-1985,173
CGN04147,1985-1985,167
CGN04147,1985-1985,163
CGN04162,1985-1985,180
CGN04164,1985-1985,171
CGN04169,1985-1985,164
CGN04248,1985-1985,162
CGN04250,1985-1985,168
CGN04251,1985-1985,163
CGN04259,1985-1985,167
CGN05780,1985-1985,159
CGN06176,1985-1985,155
CGN07993,1985-1985,174
CGN07994,1985-1985,164
CGN07995,1985-1985,162
CGN07997,1985-1985,165
CGN07998,1985-1985,168
CGN08000,1985-1985,168
CGN08001,1985-1985,169
CGN08006,1985-1985,164
CGN08007,1985-1985,161
CGN08008,1985-1985,164
CGN08009,1985-1985,164
CGN08010,1985-1985,164
CGN08012,1985-1985,168
CGN08013,1985-1985,167
CGN08014,1985-1985,165
CGN08017,1985-1985,172
CGN08018,1985-1985,170
CGN08019,1985-1985,164
CGN08020,1985-1985,168
CGN08023,1985-1985,166
CGN08024,1985-1985,168
CGN08025,1985-1985,166
CGN08026,1985-1985,166
CGN08033,1985-1985,166
CGN08035,1985-1985,164
CGN08036,1985-1985,162
CGN08038,1985-1985,169
CGN08039,1985-1985,167
CGN08040,1985-1985,160
CGN08042,1985-1985,163
CGN08044,1985-1985,164
CGN08045,1985-1985,170
CGN08409,1985-1985,176
CGN08424,1985-1985,182
CGN12039,1985-1985,162
CGN12040,1985-1985,164
CGN21103,1985-1985,169
CGN21104,1985-1985,167
CGN04332,1985-1986,169
CGN05360,1985-1986,169
CGN05381,1985-1986,170
CGN05652,1985-1986,178
CGN05684,1985-1986,167
CGN05685,1985-1986,166
CGN05724,1985-1986,180
CGN05780,1985-1986,170
CGN04248,1986-1986,168
CGN04250,1986-1986,170
CGN04251,1986-1986,169
CGN04259,1986-1986,170
CGN07993,1986-1986,175
CGN07994,1986-1986,170
CGN07995,1986-1986,169
CGN07997,1986-1986,170
CGN07998,1986-1986,171
CGN08000,1986-1986,170
CGN08001,1986-1986,173
CGN08006,1986-1986,170
CGN08007,1986-1986,168
CGN08008,1986-1986,169
CGN08009,1986-1986,168
CGN08010,1986-1986,169
CGN08012,1986-1986,170
CGN08013,1986-1986,169
CGN08014,1986-1986,168
CGN08017,1986-1986,174
CGN08018,1986-1986,172
CGN08019,1986-1986,168
CGN08020,1986-1986,169
CGN08023,1986-1986,168
CGN08024,1986-1986,170
CGN08025,1986-1986,170
CGN08026,1986-1986,170
CGN08033,1986-1986,169
CGN08035,1986-1986,168
CGN08036,1986-1986,166
CGN08038,1986-1986,170
CGN08039,1986-1986,169
CGN08040,1986-1986,166
CGN08042,1986-1986,169
CGN08044,1986-1986,170
CGN08045,1986-1986,173
CGN12040,1986-1986,168
CGN12299,1986-1986,169
CGN12299,1986-1986,164
CGN13141,1986-1986,170
CGN13141,1986-1986,169
CGN21103,1986-1986,170
CGN21104,1986-1986,170
CGN04162,1996-1996,169
CGN04164,1996-1996,161
CGN06125,1996-1996,169
CGN08424,1996-1996,171
CGN04169,2018-2018,150
CGN06125,2018-2018,163
CGN08424,2018-2018,166
CGN12039,2018-2018,148
CGN12713,2018-2018,165
CGN06176,2019-2019,145
CGN08409,2019-2019,162
CGN12713,2019-2019,168
