accenumb,campaign,plant_height
CGN04264,1984-1985,120
CGN04265,1984-1985,135
CGN04268,1984-1985,110
CGN04279,1984-1985,105
CGN04291,1984-1985,115
CGN04294,1984-1985,80
CGN04295,1984-1985,100
CGN04297,1984-1985,90
CGN04298,1984-1985,100
CGN04299,1984-1985,100
CGN04301,1984-1985,115
CGN04304,1984-1985,75
CGN04309,1984-1985,75
CGN04310,1984-1985,75
CGN04314,1984-1985,95
CGN04319,1984-1985,70
CGN04326,1984-1985,110
CGN04332,1984-1985,110
CGN04334,1984-1985,100
CGN04339,1984-1985,105
CGN04340,1984-1985,100
CGN04342,1984-1985,105
CGN04346,1984-1985,90
CGN04347,1984-1985,105
CGN04348,1984-1985,95
CGN04351,1984-1985,100
CGN04352,1984-1985,105
CGN04357,1984-1985,115
CGN04360,1984-1985,110
CGN04362,1984-1985,100
CGN04365,1984-1985,105
CGN04368,1984-1985,105
CGN04376,1984-1985,110
CGN04377,1984-1985,95
CGN04380,1984-1985,100
CGN04384,1984-1985,85
CGN04386,1984-1985,120
CGN04390,1984-1985,85
CGN04393,1984-1985,110
CGN04394,1984-1985,85
CGN04400,1984-1985,85
CGN04403,1984-1985,75
CGN04406,1984-1985,105
CGN04418,1984-1985,95
CGN04420,1984-1985,85
CGN04421,1984-1985,95
CGN04426,1984-1985,115
CGN04428,1984-1985,110
CGN04430,1984-1985,105
CGN04433,1984-1985,90
CGN04442,1984-1985,105
CGN04448,1984-1985,110
CGN04449,1984-1985,75
CGN04450,1984-1985,85
CGN04451,1984-1985,95
CGN04453,1984-1985,105
CGN04455,1984-1985,95
CGN04461,1984-1985,85
CGN04472,1984-1985,110
CGN04473,1984-1985,85
CGN04474,1984-1985,90
CGN04475,1984-1985,110
CGN04476,1984-1985,95
CGN04477,1984-1985,90
CGN04478,1984-1985,95
CGN04484,1984-1985,95
CGN04485,1984-1985,90
CGN04486,1984-1985,90
CGN05360,1984-1985,90
CGN05389,1984-1985,75
CGN05398,1984-1985,100
CGN05403,1984-1985,115
CGN05406,1984-1985,90
CGN05407,1984-1985,75
CGN05408,1984-1985,75
CGN05409,1984-1985,90
CGN05416,1984-1985,100
CGN05418,1984-1985,95
CGN05429,1984-1985,105
CGN05435,1984-1985,95
CGN05446,1984-1985,95
CGN05450,1984-1985,90
CGN05451,1984-1985,90
CGN05453,1984-1985,95
CGN05454,1984-1985,95
CGN05455,1984-1985,100
CGN05456,1984-1985,115
CGN05467,1984-1985,100
CGN05476,1984-1985,110
CGN05477,1984-1985,100
CGN05478,1984-1985,95
CGN05491,1984-1985,105
CGN05492,1984-1985,80
CGN05494,1984-1985,90
CGN05507,1984-1985,95
CGN05521,1984-1985,95
CGN05526,1984-1985,95
CGN05537,1984-1985,100
CGN05542,1984-1985,100
CGN05544,1984-1985,90
CGN05549,1984-1985,95
CGN05574,1984-1985,105
CGN05594,1984-1985,105
CGN05599,1984-1985,80
CGN05616,1984-1985,85
CGN05618,1984-1985,105
CGN05620,1984-1985,100
CGN05621,1984-1985,100
CGN05622,1984-1985,100
CGN05630,1984-1985,115
CGN05631,1984-1985,85
CGN05635,1984-1985,130
CGN05644,1984-1985,95
CGN05650,1984-1985,105
CGN05652,1984-1985,100
CGN05654,1984-1985,100
CGN05656,1984-1985,110
CGN05666,1984-1985,60
CGN05684,1984-1985,100
CGN05685,1984-1985,80
CGN05689,1984-1985,95
CGN05697,1984-1985,90
CGN05698,1984-1985,85
CGN05706,1984-1985,80
CGN05707,1984-1985,75
CGN05724,1984-1985,115
CGN05728,1984-1985,95
CGN05730,1984-1985,100
CGN05731,1984-1985,100
CGN05733,1984-1985,105
CGN05752,1984-1985,100
CGN05757,1984-1985,85
CGN05759,1984-1985,75
CGN05764,1984-1985,75
CGN05765,1984-1985,90
CGN07961,1984-1985,85
CGN11448,1984-1985,50
CGN11453,1984-1985,90
CGN04038,1985-1985,70
CGN04042,1985-1985,95
CGN04044,1985-1985,100
CGN04049,1985-1985,135
CGN04049,1985-1985,130
CGN04051,1985-1985,120
CGN04051,1985-1985,105
CGN04054,1985-1985,135
CGN04060,1985-1985,75
CGN04074,1985-1985,70
CGN04074,1985-1985,75
CGN04078,1985-1985,100
CGN04083,1985-1985,110
CGN04086,1985-1985,90
CGN04119,1985-1985,70
CGN04120,1985-1985,70
CGN04121,1985-1985,70
CGN04122,1985-1985,105
CGN04135,1985-1985,90
CGN04147,1985-1985,110
CGN04147,1985-1985,105
CGN04149,1985-1985,50
CGN04150,1985-1985,105
CGN04150,1985-1985,90
CGN04156,1985-1985,95
CGN04158,1985-1985,110
CGN04162,1985-1985,125
CGN04164,1985-1985,120
CGN04167,1985-1985,95
CGN04167,1985-1985,85
CGN04169,1985-1985,70
CGN04247,1985-1985,70
CGN04248,1985-1985,70
CGN04249,1985-1985,75
CGN04250,1985-1985,75
CGN04251,1985-1985,80
CGN04252,1985-1985,90
CGN04255,1985-1985,90
CGN04256,1985-1985,85
CGN04259,1985-1985,90
CGN04261,1985-1985,90
CGN05780,1985-1985,90
CGN06086,1985-1985,60
CGN06099,1985-1985,65
CGN06131,1985-1985,60
CGN06176,1985-1985,90
CGN06191,1985-1985,100
CGN06203,1985-1985,75
CGN06397,1985-1985,115
CGN06432,1985-1985,70
CGN06454,1985-1985,80
CGN06516,1985-1985,80
CGN06597,1985-1985,90
CGN07993,1985-1985,100
CGN07995,1985-1985,65
CGN07996,1985-1985,70
CGN07997,1985-1985,65
CGN07998,1985-1985,95
CGN07999,1985-1985,65
CGN08000,1985-1985,80
CGN08007,1985-1985,80
CGN08008,1985-1985,70
CGN08009,1985-1985,70
CGN08010,1985-1985,65
CGN08012,1985-1985,75
CGN08013,1985-1985,80
CGN08014,1985-1985,70
CGN08017,1985-1985,85
CGN08018,1985-1985,80
CGN08019,1985-1985,75
CGN08020,1985-1985,75
CGN08023,1985-1985,65
CGN08025,1985-1985,80
CGN08026,1985-1985,80
CGN08027,1985-1985,90
CGN08034,1985-1985,70
CGN08036,1985-1985,90
CGN08038,1985-1985,95
CGN08039,1985-1985,85
CGN08040,1985-1985,90
CGN08041,1985-1985,80
CGN08042,1985-1985,80
CGN08043,1985-1985,85
CGN08044,1985-1985,90
CGN08045,1985-1985,90
CGN08046,1985-1985,85
CGN08265,1985-1985,60
CGN08266,1985-1985,60
CGN08267,1985-1985,75
CGN08268,1985-1985,70
CGN08269,1985-1985,100
CGN08270,1985-1985,90
CGN08271,1985-1985,80
CGN08272,1985-1985,80
CGN08392,1985-1985,115
CGN08409,1985-1985,125
CGN08424,1985-1985,95
CGN10392,1985-1985,60
CGN10394,1985-1985,70
