accession_match,responsibility,instcode,crop,genus,species,species_authority,accenumb,declatitude,declongitude
CREA_wheat/TA00536,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00536,44.4937578,11.3430308
CREA_wheat/TA00715,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00715,44.4937578,11.3430308
CREA_wheat/TA00716,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00716,45.7580222,7.0354328
CREA_wheat/TA00717,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00717,45.7580222,7.0354328
CREA_wheat/TA00718,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00718,45.7580222,7.0354328
CREA_wheat/TA00720,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00720,45.2333206,11.4657778
CREA_wheat/TA00726,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00726,42.4016906,12.8629992
CREA_wheat/TA00727,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00727,NA,NA
CREA_wheat/TA00730,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00730,NA,NA
CREA_wheat/TA00732,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00732,NA,NA
CREA_wheat/TA00733,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00733,NA,NA
CREA_wheat/TA00738,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00738,42.4016906,12.8629992
CREA_wheat/TA00739,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00739,38.1035389,15.6397556
CREA_wheat/TA00742,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00742,44.43743,7.3753269
CREA_wheat/TA00744,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00744,44.4937578,11.3430308
CREA_wheat/TA00748,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00748,44.4937578,11.3430308
CREA_wheat/TA00751,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00751,44.4937578,11.3430308
CREA_wheat/TA00752,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00752,44.4937578,11.3430308
CREA_wheat/TA00757,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00757,44.4937578,11.3430308
CREA_wheat/TA00759,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00759,44.4937578,11.3430308
CREA_wheat/TA00767,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00767,42.4016906,12.8629992
CREA_wheat/TA00771,CREA-CI,ITA383,Wheat,Triticum,aestivum,L.,TA00771,NA,NA
